year,coc_number,rate_homeless,rate_sheltered,rate_unsheltered,total_population,house_price_index_2009,log_median_rent,utility_costs,percentage_owners_cost_burden_2016,percentage_renters_severe_cost_burden_2016,share_renters_2016,rental_vacancy_rate,high_housing_density,number_eviction,share_overcrowded_units_2016,city_or_urban,suburban,rate_unemployment,gini_coefficient_2016,poverty_rate,share_HUD_units,HUD_unit_occupancy_rate,share_built_before_1940,total_black,total_latino_hispanic,total_asian,total_pacific_islander,total_population_0_19,total_population_65_plus,total_female_population,net_migration,migration_4_year_change,proportion_one_person_households,share_under_18_with_single_parent,share_veteran_status,share_no_bachelors,medicare_reimbursements_per_enrollee,percentage_excessive_drinking,average_Jan_temperature,average_summer_temperature,total_Jan_precipitation,total_annual_precipitation
2017,AK-500,37.93177660604756,32.71952006886904,5.212256537178521,297376,11.7436473396041,2.43886280059814,8.5,15.3343152999878,21.0148162841797,39.7279205322266,4.81721210479736,0,0,4.11740589141846,1,0,5.55591201782227,42.0100021362305,7.09808444976807,3.45132637023926,99.0,0.366994917392731,538.1066394060045,899.669105778543,939.517647691811,243.86635101689444,2691.6092757989886,991.404820832885,145604,-3389,-0.849201798439026,25.0464401245117,23.379077911377,14.5351257324219,65.634147644043,8.75152,0.193316832184792,13.8000001907349,60.7999992370605,1.71000003814697,16.5
2017,AK-501,16.143340252979876,13.013738725554209,3.1296015274256663,444146,9.04271026306481,2.24969911575317,14.6077146530151,13.3116703033447,19.3645610809326,33.922233581543,7.00008964538574,0,0,9.29489803314209,0,0,7.93574953079224,40.6757011413574,11.4392566680908,1.84200477600098,99.0,2.23641037940979,195.29614135892254,557.2717079518897,401.03929788853213,45.93084256077957,2785.6155408356713,1099.0530140989674,207750,149,-0.466562390327454,25.6898784637451,19.7865581512451,14.1425180435181,75.5603790283203,9.97286992457435,0.218806326389313,13.8000001907349,60.7999992370605,1.71000003814697,16.5
2017,AL-500,11.39515518072591,9.13073331788935,2.2644218628365587,958302,-0.852476571257,1.86224758625031,19.4923305511475,12.1884155273438,24.9629383087158,31.7696208953857,8.24999332427979,0,591,1.23592507839203,0,1,5.35658359527588,47.6335334777832,13.066967010498,4.52810955047607,95.0837097167969,7.19157886505127,3311.471748989358,408.4307452139305,166.31500299488053,3.1096668899783158,2564.0977478915834,1490.5843878025926,499924,14,-0.0006589146796613,29.4301300048828,32.0775985717773,9.14955806732178,65.9837112426758,9.3181631810327,0.166727036237717,50.9953460693359,80.8743133544922,6.66987609863281,38.593376159668
2017,AL-501,9.737113990111848,5.4791351000464354,4.257978890065412,622361,-8.50700364834503,1.858393907547,18.8998394012451,12.5391321182251,27.2319202423096,32.109203338623,19.4248142242432,0,2260,1.71273577213287,1,0,6.22268533706665,46.713249206543,16.6091709136963,4.81906032562256,87.0008010864258,3.68171644210815,2668.065640359856,338.16386309553457,168.88911740934924,3.8241470786247853,2547.3479218652838,1671.2647482731084,323422,3520,0.208838671445847,28.982967376709,33.6681289672852,11.6479225158691,74.54345703125,8.70952230091538,0.165461212396622,57.8933601379395,81.9399490356445,12.2966661453247,58.5190124511719
2017,AL-502,5.843235418300259,5.013872971831835,0.8293624464684239,265264,0.751166709357832,1.36201024055481,18.803186416626,10.3746938705444,21.5884666442871,27.7082061767578,7.21840572357178,0,430,1.53998792171478,0,0,6.58960342407227,45.1655464172363,16.5759391784668,4.34119129180908,95.1786651611328,5.1500072479248,903.4772905482839,420.56215694553356,49.0077809276796,4.712286627661499,2365.4547922070087,1907.0812473611195,136329,353,0.231821924448013,28.3292980194092,27.9593162536621,9.1350154876709,82.3326568603516,8.96719459677906,0.149407356977463,48.3821029663086,79.4299850463867,5.46299886703491,44.7786178588867
2017,AL-503,7.675367176538726,5.932565913976035,1.7428012625626923,568051,-3.95539117410777,1.72603678703308,16.0252494812012,9.75128746032715,22.7770805358887,30.1196670532227,7.66778564453125,0,1065,1.54153943061829,1,0,5.23860883712769,46.2489356994629,13.5637464523315,2.90868330001831,93.3449249267578,3.12073969841003,2001.0879304851148,568.082795382809,203.81972745404903,8.555569834398673,2501.201476627979,1487.6833242085656,289011,3196,0.0176678895950317,29.5809020996094,26.4177322387695,12.4708290100098,64.9470138549805,9.31920846791925,0.154150247573853,48.5707588195801,80.2383804321289,6.11075925827026,46.1163902282715
2017,AL-504,9.819856426926725,8.178872461684326,1.6409839652423968,383916,-9.36641415506037,1.81595718860626,20.5440845489502,13.1453723907471,28.1911373138428,35.2873382568359,6.15701293945313,0,2393,1.54163789749146,1,0,5.5419716835022,46.585376739502,16.829984664917,3.73982715606689,92.6790390014648,5.37810897827148,4500.359453630482,325.0711093051605,204.44576417758054,5.105283447420789,2589.889454984944,1443.1802790193688,199810,-842,0.419133126735687,29.7691402435303,38.4663505554199,11.7181072235107,71.9156723022461,8.63626435949531,0.15961766242981,54.0212821960449,82.377067565918,11.9149255752563,45.0500640869141
2017,AL-505,5.179733577384584,3.2730831808013017,1.9066503965832826,314688,-6.69455121933841,1.4402779340744,18.732852935791,12.3917770385742,20.8745918273926,28.7751026153564,8.29626178741455,0,854,1.8678879737854,0,0,6.10459756851196,44.6315078735352,17.5780467987061,3.65228581428528,92.4656829833984,7.55602502822876,1327.314673581452,598.2115619280049,67.30475899938988,5.910616229408176,2470.35158633313,1767.4013626194835,161649,-296,0.190820083022118,27.2776012420654,29.8012962341309,10.9297456741333,83.9371032714844,9.84387941052725,0.147625833749771,49.5590400695801,80.2235412597656,6.98467779159546,37.0890808105469
2017,AL-506,9.695465430818006,6.641393820110335,3.054071610707672,206282,-0.422569360257697,1.80500471591949,17.6000003814697,12.762038230896,30.4221363067627,36.9775695800781,6.08100938796997,0,897,2.06700730323792,1,0,5.65644121170044,46.8600006103516,16.6684455871582,5.29609155654907,87.0,3.09134125709534,3148.553921330994,363.0467030569803,150.8129647763741,3.7327541908649327,2602.3598762858614,1250.715040575523,106868,982,-0.0420873761177063,27.6433849334717,35.4822692871094,8.54334259033203,69.0326995849609,9.56617,0.188354909420013,51.9300003051758,81.1566696166992,7.01999998092651,41.0999984741211
2017,AL-507,5.149969261963567,2.804171744734089,2.3457975172294785,1483504,-5.5432415985246,1.45131528377533,19.256778717041,11.9380750656128,24.1373043060303,30.5825386047363,6.95794010162354,0,2402,1.98189043998718,0,0,6.32148599624634,47.1992301940918,20.1657695770264,3.74700284004211,97.2431411743164,5.61276292800903,2435.9422017062307,403.42324658376384,95.76650956114713,4.482630313096561,2490.569624348839,1727.6326858572677,759289,-3364,-0.206352651119232,29.2033252716064,35.0276489257813,10.669750213623,82.5221557617188,9.08792771666271,0.14692011475563,52.2747383117676,80.8351593017578,9.41318225860596,44.3590316772461
